structure_id,smiles,sources,endpoints,assay_families,document_year,observed_p_activity_median,predicted_p_activity_median,residual_observed_minus_predicted,absolute_error,prediction_interval_lower_0.90,prediction_interval_upper_0.90,max_training_tanimoto,nearest_training_smiles,inside_applicability_domain
STR-A03DAF6611859C5C8983,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(C(F)(F)F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,PubChem,IC50,biochemical_binding,2023.0,3.034737135044418,6.649710601935698,-3.6149734668912803,3.6149734668912803,5.162249687731988,8.137171516139409,0.7088607549667358,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True
STR-5C740F62A4861DEC230E,CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)F)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2018.0,7.337242168318426,5.318349049826093,2.0188931184923327,2.0188931184923327,3.8308881356223825,6.8058099640298035,0.6785714030265808,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True
STR-077D7D9C480B1958E4A3,CNC(=O)CC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,PubChem,IC50,biochemical_binding,2026.0,4.224025668870631,6.2308681451916526,-2.0068424763210215,2.0068424763210215,4.743407230987942,7.718329059395363,0.5979381203651428,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCN(C)CCC(N)=O)C(C)C)C2)C(C)C,False
STR-FF8C3D50A964C03AC597,CC1(C)CN=C(N2CCN(c3ncnc4sc(CC(F)F)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2015.0,7.187086643357144,5.253242369750856,1.9338442736062884,1.9338442736062884,3.7657814555471454,6.740703283954566,0.7454545497894287,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True
STR-8D22035F518E37FF47A2,CC(C)[C@H](CCC(N)=O)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,PubChem,IC50,biochemical_binding,2026.0,4.3314277308154425,6.203966865915371,-1.8725391350999283,1.8725391350999283,4.71650595171166,7.691427780119081,0.6304348111152649,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCN(C)CCC(N)=O)C(C)C)C2)C(C)C,False
STR-64416BC7F3D621D83B3A,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(=O)O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.82102305270683,6.675080612308751,-1.8540575596019204,1.8540575596019204,5.18761969810504,8.162541526512461,0.8208954930305481,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True
STR-FE6ABAC0F054BFEC1BAA,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.327902142064282,7.117430471808898,-1.7895283297446163,1.7895283297446163,5.629969557605188,8.604891386012609,0.8235294222831726,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True
STR-229990C98B9D4B27D490,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc([N+](=O)[O-])cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.337242168318426,7.083074282533865,-1.745832114215439,1.745832114215439,5.595613368330154,8.570535196737575,0.8142856955528259,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True
STR-387792503A9801B32A63,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,ChEMBL,IC50,biochemical_binding,2013.0,4.958607314841775,6.692163728011442,-1.7335564131696675,1.7335564131696675,5.204702813807732,8.179624642215153,0.9895833134651184,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,True
STR-9CEE978B571562B060A4,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(CC(F)(F)F)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.935542010773082,6.658804761334604,-1.7232627505615223,1.7232627505615223,5.171343847130894,8.146265675538315,0.7820512652397156,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True
